"","seed","graph","dim","method","selector","elapsed_time_model","total_ram_model","peak_ram_model","elapsed_time_best","total_ram_best","peak_ram_best","f1","precision","recall","hamming_dist","best"
"95",42,"cluster",1000,"glasso","stars",49.558,152.6,175.5,1167.906,-74.3,552.7,0.135885167464115,0.0802058491276516,0.444367176634214,32508,0
"101",42,"cluster",100,"mb","stars",0.557,0.600000000000001,10.8,7.002,0.5,10.1,0.417204301075269,0.57396449704142,0.327702702702703,542,0
"102",42,"cluster",250,"mb","stars",0.651,1.1,38.8,9.722,1.3,37.7,0.411373260738052,0.35827186512118,0.482954545454545,1946,0
"103",42,"cluster",500,"mb","stars",1.422,3.5,45.1,26.072,4.4,77,0.225013267291704,0.150070788107598,0.449469964664311,8762,0
"104",42,"cluster",750,"mb","stars",2.23099999999999,5,65,42.595,1,110.9,0.17818836608471,0.106714178544636,0.53959222380275,20994,0
"105",42,"cluster",1000,"mb","stars",3.809,7.40000000000001,99.1,73.325,1.69999999999999,165.2,0.12476954506951,0.0728203338568022,0.435326842837274,35130,0
"106",42,"band",100,"glasso","stars",0.416,1.6,2,6.951,0.5,9.8,0.628571428571429,0.458333333333333,1,234,0
"107",42,"band",250,"glasso","stars",0.865,9.5,11,17.481,0.399999999999999,54,0.469135802469136,0.307213930348259,0.991967871485944,1118,0
"108",42,"band",500,"glasso","stars",3.71,38.1,43.8,82.129,-4.30000000000001,118.4,0.443349753694581,0.285467128027682,0.991983967935872,2486,0
"109",42,"band",750,"glasso","stars",11.971,85.9,98.7,275.539,-29.4,244,0.274336283185841,0.159144385026738,0.993324432576769,7872,0
"110",42,"band",1000,"glasso","stars",46.678,152.6,175.5,1006.034,-76.4,412.3,0.221103278505091,0.124464600655077,0.988988988988989,13922,0
"116",42,"band",100,"mb","stars",0.549,0.5,10,6.811,0.400000000000002,8.9,0.758620689655172,0.611111111111111,1,126,0
"117",42,"band",250,"mb","stars",0.605,1,39.1,8.78,1.2,38.1,0.660402684563758,0.495967741935484,0.987951807228916,506,0
"118",42,"band",500,"mb","stars",0.887,2.2,45.7,15.565,2.4,59.6,0.300970873786408,0.177332856632106,0.993987975951904,4608,0
"119",42,"band",750,"mb","stars",1.61,4.1,68.8,31.149,2.9,115.6,0.208566629339306,0.116497263487099,0.994659546061415,11308,0
"120",42,"band",1000,"mb","stars",2.455,5.9,101.9,49.129,1,129.5,0.0975729828188844,0.0513099306202754,0.991991991991992,36662,0
"121",42,"scale-free",100,"glasso","stars",0.421,1.6,1.9,7.127,0.600000000000001,10,0.438461538461538,0.354037267080745,0.575757575757576,292,0
"122",42,"scale-free",250,"glasso","stars",1.094,9.5,10.9,23.662,1.09999999999999,57.7,0.246963562753036,0.248979591836735,0.244979919678715,744,0
"123",42,"scale-free",500,"glasso","stars",5.601,38.1,43.8,128.848,-1.3,157.5,0.0931403398363751,0.0552444942142591,0.296593186372746,5764,0
"124",42,"scale-free",750,"glasso","stars",16.94,85.8,98.7,384.898,-27,323.2,0.0619004524886878,0.0358040201005025,0.228304405874499,10366,0
"125",42,"scale-free",1000,"glasso","stars",57.909,152.6,175.5,1333.239,-73.1,549.7,0.0436893203883495,0.0248584449661649,0.18018018018018,15760,0
"131",42,"scale-free",100,"mb","stars",0.555,0.600000000000001,10.5,7.013,0.600000000000001,9.6,0.430278884462151,0.355263157894737,0.545454545454545,286,0
"132",42,"scale-free",250,"mb","stars",0.763,1.7,38.8,12.212,2,46.8,0.178761061946903,0.114642451759364,0.405622489959839,1856,0
"133",42,"scale-free",500,"mb","stars",1.671,3.9,43.9,30.156,3.90000000000001,75.4,0.0963949843260188,0.0599123234291281,0.246492985971944,4612,0
"134",42,"scale-free",750,"mb","stars",3.207,6.3,63.8,58.992,2.5,108.4,0.0436005625879044,0.023574144486692,0.289719626168224,19040,0
"135",42,"scale-free",1000,"mb","stars",5.047,8.7,95.1,91.569,0.799999999999997,159.9,0.0343182627269491,0.0184730952015944,0.241241241241241,27126,0
"136",42,"MB",100,"glasso","stars",0.417,1.6,2,6.925,0.399999999999999,9.4,0.634146341463415,0.537931034482759,0.772277227722772,360,0
"137",42,"MB",250,"glasso","stars",0.974,9.5,11,20.106,0.799999999999997,56.3,0.618181818181818,0.523460410557185,0.754756871035941,882,0
"138",42,"MB",500,"glasso","stars",4.753,38.1,43.8,108.071,-2.90000000000001,119.8,0.50546780072904,0.390977443609023,0.714776632302406,2442,0
"139",42,"MB",750,"glasso","stars",14.003,85.8,98.7,315.351,-28.6,246.4,0.462382445141066,0.347331240188383,0.69140625,4116,0
"140",42,"MB",1000,"glasso","stars",52.402,152.6,175.5,1211.825,-74.4,417.2,0.379678238780694,0.263888888888889,0.676523838261919,7326,0
"146",42,"MB",100,"mb","stars",0.55,0.5,9.8,6.814,0.400000000000002,8.6,0.743142144638404,0.748743718592965,0.737623762376238,206,0
"147",42,"MB",250,"mb","stars",0.648999999999999,1.2,39.2,9.699,1.6,38.3,0.518280949326491,0.372007366482505,0.854122621564482,1502,0
"148",42,"MB",500,"mb","stars",1.2,3.1,46.9,21.805,3.5,59.9,0.359849435382685,0.230398457583548,0.821305841924399,5102,0
"149",42,"MB",750,"mb","stars",2.19800000000001,5,70.3,41.972,2.5,116.2,0.181863027213681,0.101626389782229,0.8640625,19902,0
"150",42,"MB",1000,"mb","stars",3.904,7.40000000000001,109.1,70.104,1.5,135.7,0.143665696905581,0.0787337662337662,0.819553409776705,32378,0
"111",23,"hub",100,"glasso","stars",0.393,1.6,2,6.614,0.5,11.2,0.651515151515152,0.50887573964497,0.905263157894737,184,0
"210",23,"hub",250,"glasso","stars",0.965,9.5,10.9,19.765,0.5,58.1,0.553846153846154,0.414225941422594,0.835443037974684,638,0
"310",23,"hub",500,"glasso","stars",4.434,38.1,43.8,101.98,-2.5,158.6,0.454494695700726,0.309270516717325,0.856842105263158,1954,0
